id,name,display_name,category,latitude,longitude,source,notes,is_destination,show_marker
main_gate,NTHU Main Gate,清大校門口 / NTHU Main Gate,gate,24.796153,120.996694,manual,verified,1,1
University Green,University Green,大草坪/ Campus Green,intersection,24.795315,120.995581,manual,verified,0,0
main_library,NTHU Main Library,清大總圖書館 / NTHU Main Library,building,24.795357,120.995079,manual,verified,1,1
delta_building,Delta Building,台達館 / Delta Building,building,24.795516,120.992255,manual,verified,1,1
social_sciences,Humanities and Social Sciences Building,人文社會學院 / Humanities and Social Sciences Building,building,24.789793,120.98979,manual,verified,1,1
engineering_building_i,Engineering Building I,工程一館 / Engineering Building I,building,24.795121,120.996031,manual,verified,1,1
second_general_building,Second General Building,綜二館 / Second General Building,building,24.794162,120.993555,manual,verified,1,1
shui_mu_student_center,Shui Mu Student Center,水木生活中心 / Shui Mu Student Center,building,24.792467,120.993977,manual,verified,1,1
feng_yun_building,Feng Yun Building,風雲樓 / Feng Yun Building,building,24.792253,120.994596,manual,verified,1,1
sports_field,Sports Field,運動場 / Sports Field,landmark,24.794118,120.990103,manual,verified,1,1
eecs_building,College of Electrical Engineering and Computer Science,資電館 / College of EECS,building,24.795218,120.992131,manual,verified,1,1
Technology_Management,TSMC Building,台積館/TSMC Building,building,24.78672,120.988518,manual,verified,1,1
campus_security_office,駐警隊,駐警隊,building,24.791654,120.99182,manual,manual_added,1,1
red_bridge_right,學思路小紅橋,學思路小紅橋,road_node,24.795409,120.993118,manual,manual_added,0,0
red_bridge_left,行勝路小紅橋,行勝路小紅橋,road_node,24.795467,120.99277,manual,manual_added,0,0
xuesi_load,學思路,學思路,road_node,24.79463,120.995387,manual,manual_added,0,0
fengyun_load,風雲路,風雲路,road_node,24.792491,120.993995,manual,manual_added,0,0
food_court,小吃部,小吃部,building,24.793154,120.993327,manual,manual_added,1,1
guest_house_i,清華會館,清華會館,building,24.797916,120.991005,manual,manual_added,1,1
engineering_and_system_science,工科館,工科館,building,24.791084,120.991345,manual,manual_added,1,1
life_sciences_and_medicine,生科一館,生科一館,building,24.789696,120.990307,manual,manual_added,1,1
fong_ling_crossroad,楓林小徑入口,楓林小徑入口,road_node,24.791911,120.992303,manual,manual_added,1,0
fongling_road2,楓林小徑2,楓林小徑2,road_node,24.79158,120.991482,manual,manual_added,1,0
fongling_road3,楓林小徑3,楓林小徑3,road_node,24.791064,120.991492,manual,manual_added,1,0
motor_parking_exit,機車停車場出口,機車停車場出口,building,24.796304,120.995457,manual,manual_added,1,1
che_building,化工館,化工館,building,24.796153,120.995216,manual,manual_added,1,1
che_building_beside1,化工館旁1,化工館旁1,road_node,24.796248,120.995401,manual,manual_added,1,0
che_building_libary,化工館_圖書館_中點,化工館_圖書館_中點,road_node,24.795851,120.994974,manual,manual_added,1,0
nthu_garden_north,清華園北邊路口,清華園北邊路口,road_node,24.795279,120.993853,manual,manual_added,1,0
nthu_garden_south,清華園南邊路口,清華園南邊路口,road_node,24.794088,120.993899,manual,manual_added,1,0
libary_back,圖書館後面,圖書館後面,road_node,24.795576,120.994049,manual,manual_added,1,0
southedu_building,竹師教育學院,竹師教育學院,building,24.785493,120.990923,manual,manual_added,1,1
nthu_south_gate,清大南門,清大南門,building,24.786686,120.988845,manual,manual_added,1,1
nthu_hall_of_fame_1,清華名人堂旁1,清華名人堂旁1,road_node,24.79394,120.992651,manual,manual_added,1,0
physics_building_front,物理館前人行道,物理館前人行道,road_node,24.794232,120.992651,manual,manual_added,1,0
eecs_building_front,資電館前人行道,資電館前人行道,road_node,24.794977,120.992627,manual,manual_added,1,0
teaching_building,教育館,教育館,building,24.795737,120.99384,manual,manual_added,1,1
e3,工程三館,工程三館,building,24.796406,120.992657,manual,manual_added,1,1
test1,同位素館,同位素館,building,24.789267,120.992163,manual,manual_added,1,1
